"","year","temp_anomaly_celsius","hex_code","id","common_name","class","method","units","population_count","country","points"
"1",1950,-0.1725,"#F2EBC6",19301,"Cape horse mackerel","Actinopteri","Biomass dynamics model - Age-structured surplus production model","SSB-MT",769563,"South Africa",769.563
"2",1951,-0.0683333333333333,"#F3E9BD",19301,"Cape horse mackerel","Actinopteri","Biomass dynamics model - Age-structured surplus production model","SSB-MT",717383,"South Africa",717.383
"3",1952,0.0108333333333333,"#F5E7B4",19301,"Cape horse mackerel","Actinopteri","Biomass dynamics model - Age-structured surplus production model","SSB-MT",613491,"South Africa",613.491
"4",1953,0.08,"#F7E5AA",19301,"Cape horse mackerel","Actinopteri","Biomass dynamics model - Age-structured surplus production model","SSB-MT",507365,"South Africa",507.365
"5",1954,-0.131666666666667,"#F8E3A1",19301,"Cape horse mackerel","Actinopteri","Biomass dynamics model - Age-structured surplus production model","SSB-MT",424417,"South Africa",424.417
"6",1955,-0.140833333333333,"#FAE198",19301,"Cape horse mackerel","Actinopteri","Biomass dynamics model - Age-structured surplus production model","SSB-MT",322044,"South Africa",322.044
"7",1956,-0.190833333333333,"#FBDF8E",19301,"Cape horse mackerel","Actinopteri","Biomass dynamics model - Age-structured surplus production model","SSB-MT",258549,"South Africa",258.549
"8",1957,0.0483333333333333,"#FDDC85",19301,"Cape horse mackerel","Actinopteri","Biomass dynamics model - Age-structured surplus production model","SSB-MT",240826,"South Africa",240.826
"9",1958,0.06,"#FDD97E",19301,"Cape horse mackerel","Actinopteri","Biomass dynamics model - Age-structured surplus production model","SSB-MT",191528,"South Africa",191.528
"10",1959,0.0291666666666667,"#FDD57A",19301,"Cape horse mackerel","Actinopteri","Biomass dynamics model - Age-structured surplus production model","SSB-MT",174526,"South Africa",174.526
"11",1960,-0.0258333333333333,"#FDD176",19301,"Cape horse mackerel","Actinopteri","Biomass dynamics model - Age-structured surplus production model","SSB-MT",205796,"South Africa",205.796
"12",1961,0.0566666666666667,"#FDCD72",1565,"Bigeye tuna","Actinopteri","SPA","Spawning stock biomass (tonnes)",342873.9,"Brazil",342.8739
"13",1961,0.0566666666666667,"#FDCD72",19301,"Cape horse mackerel","Actinopteri","Biomass dynamics model - Age-structured surplus production model","SSB-MT",191551,"South Africa",191.551
"14",1962,0.0308333333333333,"#FDC86F",1565,"Bigeye tuna","Actinopteri","SPA","Spawning stock biomass (tonnes)",339234.2,"Brazil",339.2342
"15",1962,0.0308333333333333,"#FDC86F",19301,"Cape horse mackerel","Actinopteri","Biomass dynamics model - Age-structured surplus production model","SSB-MT",201222,"South Africa",201.222
"16",1963,0.0541666666666667,"#FDC46B",1565,"Bigeye tuna","Actinopteri","SPA","Spawning stock biomass (tonnes)",328142.3,"Brazil",328.1423
"17",1963,0.0541666666666667,"#FDC46B",19301,"Cape horse mackerel","Actinopteri","Biomass dynamics model - Age-structured surplus production model","SSB-MT",186040,"South Africa",186.04
"18",1964,-0.199166666666667,"#FDC067",1565,"Bigeye tuna","Actinopteri","SPA","Spawning stock biomass (tonnes)",321553,"Brazil",321.553
"19",1964,-0.199166666666667,"#FDC067",19301,"Cape horse mackerel","Actinopteri","Biomass dynamics model - Age-structured surplus production model","SSB-MT",220840,"South Africa",220.84
"20",1965,-0.106666666666667,"#FDBC63",1565,"Bigeye tuna","Actinopteri","SPA","Spawning stock biomass (tonnes)",311340.8,"Brazil",311.3408
