HAGRID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Common name,Humano médio (79) vive quantos % disso?,Maximum longevity (yrs),Female maturity (days),Male maturity (days),Gestation/Incubation (days),Weaning (days),Litter/Clutch size,Litters/Clutches per year,Inter-litter/Interbirth interval,Birth weight (g),Weaning weight (g),Adult weight (g),Growth rate (1/days),Source,Specimen origin,Sample size,Data quality,IMR (per yr),MRDT (yrs),Metabolic rate (W),Body mass (g),Temperature (K),References
4239,Animalia,Porifera,Hexactinellida,Lyssacinosida,Rossellidae,Scolymastra,joubini,Hexactinellid sponge,0.49%,15000,,,,,,,,,,,,688,wild,medium,questionable,,,,,,688
4241,Plantae,Pinophyta,Pinopsida,Pinales,Pinaceae,Pinus,longaeva,Great Basin bristlecone pine,1.44%,5062,,,,,,,,,,,,1289,wild,medium,acceptable,,999,,,,"5,017,101,289"
4238,Animalia,Porifera,Demospongiae,Spirophorida,Tetillidae,Cinachyra,antarctica,Epibenthic sponge,4.71%,1550,,,,,,,,,,,,688,wild,medium,questionable,,,,,,688
4235,Animalia,Mollusca,Bivalvia,Veneroida,Arcticidae,Arctica,islandica,Ocean quahog clam,14.40%,507,4562,4780,,,,,,,,,,1086,wild,medium,acceptable,,999,,,,"2,14,593,829,893,1085,1086,1095,1098,1162,1163,1164,1165,1226"
1507,Animalia,Chordata,Chondrichthyes,Squaliformes,Somniosidae,Somniosus,microcephalus,Greenland shark,18.62%,392,56940,,,,,,,,,,,1153,wild,small,acceptable,,,,,,"11,531,154"
1928,Animalia,Chordata,Mammalia,Cetacea,Balaenidae,Balaena,mysticetus,Bowhead whale,34.60%,211,8212,8212,396,365,1,0.3,1642,900000,,100000000,,21,wild,medium,acceptable,,,,,,"21,49,434,447,455,538,610,680,890,978,1136"
4131,Animalia,Chordata,Teleostei,Scorpaeniformes,Scorpaenidae,Sebastes,aleutianus,Rougheye rockfish,35.61%,205,,,,,,,,,,495,,22,wild,medium,acceptable,0.05,999,,,,"2,22,454,472"
4232,Animalia,Echinodermata,Echinoidea,Echinoida,Strongylocentrotidae,Strongylocentrotus,franciscanus,Red sea urchin,36.50%,200,550,550,,,,,,,,,,40,wild,medium,acceptable,,999,,,,"40,591,833,959,1224,1225,1234,1235"
3399,Animalia,Chordata,Reptilia,Testudines,Testudinidae,Chelonoidis,nigra,Galapagos tortoise,41.24%,177,,,,,,,,,,,,451,captivity,medium,acceptable,,,,,,"13,14,451,543,1171"
4136,Animalia,Chordata,Teleostei,Scorpaeniformes,Scorpaenidae,Sebastes,borealis,Shortraker rockfish,46.50%,157,,,,,,,,,,8910,,22,wild,medium,acceptable,,,,,,"22,454"
1520,Animalia,Chordata,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,fulvescens,Lake sturgeon,48.03%,152,9490,2920,6,,350000,,,,,70000,,1,wild,medium,acceptable,0.013,10,,,,"1,2,440,454,524"
3394,Animalia,Chordata,Reptilia,Testudines,Testudinidae,Aldabrachelys,gigantea,Aldabra tortoise,48.03%,152,,,,,,,,,,,,527,captivity,large,acceptable,,,,,,"2,14,527"
3444,Animalia,Chordata,Teleostei,Beryciformes,Trachichthyidae,Hoplostethus,atlanticus,Orange roughy,48.99%,149,6448,7208,,,,,,,,3850,,454,wild,medium,acceptable,,,,,,"22,454"
4225,Animalia,Chordata,Teleostei,Zeiformes,Oreosomatidae,Allocyttus,verrucosus,Warty oreo,52.14%,140,,,,,,,,,,1100,,22,wild,medium,acceptable,,,,,,"22,454"
3340,Animalia,Chordata,Reptilia,Testudines,Emydidae,Terrapene,carolina,Eastern box turtle,52.90%,138,2190,2190,,,,,,,,,,543,wild,medium,acceptable,,999,,,,"26,64,468,528,543"
3412,Animalia,Chordata,Reptilia,Testudines,Testudinidae,Testudo,graeca,Mediterranean spur-thighed tortoise,57.48%,127,4560,4560,,,,,,,,,,451,captivity,large,acceptable,,,,,,"451,527"
3326,Animalia,Chordata,Reptilia,Testudines,Emydidae,Emys,orbicularis,European pond turtle,60.83%,120,,,,,,,,,,,,527,captivity,medium,acceptable,,,,,,527
1529,Animalia,Chordata,Chondrostei,Acipenseriformes,Acipenseridae,Huso,huso,Beluga sturgeon,61.86%,118,6387,4745,,,,,,,,1139600,,1,wild,medium,acceptable,,,,,,"1,454"
4171,Animalia,Chordata,Teleostei,Scorpaeniformes,Scorpaenidae,Sebastes,ruberrimus,Rasphead rockfish,61.86%,118,4927,4927,,,,,,,,9790,,22,wild,medium,acceptable,,,,,,"22,454"
4161,Animalia,Chordata,Teleostei,Scorpaeniformes,Scorpaenidae,Sebastes,nigrocinctus,Tiger rockfish,62.93%,116,,,,,,,,,,1221,,22,wild,medium,acceptable,,,,,,"22,454"
4180,Animalia,Chordata,Teleostei,Scorpaeniformes,Scorpaenidae,Sebastolobus,alascanus,Shortspine thornyhead,63.48%,115,,,,,,,,,,1270.5,,22,wild,medium,acceptable,,,,,,"22,454"
1935,Animalia,Chordata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,physalus,Fin whale,64.04%,114,2701,2864,342,183,1,0.4,608,1800000,,70000000,,434,wild,medium,acceptable,,,,,,"434,455,538,610,680"
4110,Animalia,Chordata,Teleostei,Scorpaeniformes,Anoplopomatidae,Anoplopoma,fimbria,Sablefish,64.04%,114,2190,,,,,,,,,31350,,22,wild,medium,acceptable,,,,,,"22,454"
1934,Animalia,Chordata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,musculus,Blue whale,66.36%,110,1827,1827,350,182,1,0.4,914,2000000,17000000,136000000,,1,wild,medium,acceptable,,,,,,"1,434,441,455,538,610,680"
4135,Animalia,Chordata,Teleostei,Scorpaeniformes,Scorpaenidae,Sebastes,babcocki,Redbanded rockfish,68.87%,106,,,,,,,,,,2442,,22,wild,medium,acceptable,,,,,,"22,454"
1527,Animalia,Chordata,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,transmontanus,White sturgeon,70.19%,104,8212,6022,,,,,,,,448800,,22,wild,medium,acceptable,,,,,,"22,454"
3794,Animalia,Chordata,Teleostei,Perciformes,Epigonidae,Epigonus,telescopus,Telescope cardinal,70.19%,104,,,,,,,,,,,,22,wild,medium,acceptable,,,,,,"22,454"
161,Animalia,Chordata,Amphibia,Caudata,Proteidae,Proteus,anguinus,Olm,71.57%,102,4124,,133,,35,,4562,,,17,,934,wild,medium,acceptable,,999,,,,"485,749,934"
12,Animalia,Arthropoda,Malacostraca,Decapoda,Nephropidae,Homarus,americanus,American lobster,73.00%,100,,,,,,,,,,,,2,wild,medium,acceptable,,,,,,"2,13,594"
1519,Animalia,Chordata,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,dabryanus,Yangtze sturgeon,73.00%,100,,,,,,,,,,,,454,wild,medium,acceptable,,,,,,454
1526,Animalia,Chordata,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,sturio,European sturgeon,73.00%,100,4608,3467,,,,,,,,220000,,454,wild,medium,acceptable,,,,,,454
4132,Animalia,Chordata,Teleostei,Scorpaeniformes,Scorpaenidae,Sebastes,alutus,Pacific ocean perch,73.00%,100,3169,3833,,,,,,,,770,,22,wild,medium,acceptable,,,,,,"2,22,454,472,585"
4224,Animalia,Chordata,Teleostei,Zeiformes,Oreosomatidae,Allocyttus,niger,Black oreo,73.00%,100,9855,9855,,,,,,,,825,,454,wild,medium,acceptable,,,,,,454
4226,Animalia,Chordata,Teleostei,Zeiformes,Oreosomatidae,Neocyttus,rhomboidalis,Spiky oreo,73.00%,100,,,,,,,,,,1100,,454,wild,medium,acceptable,,,,,,454
4227,Animalia,Chordata,Teleostei,Zeiformes,Oreosomatidae,Pseudocyttus,maculatus,Smooth oreo,73.00%,100,11315,,,,,,,,,2750,,454,wild,medium,acceptable,,,,,,454
4168,Animalia,Chordata,Teleostei,Scorpaeniformes,Scorpaenidae,Sebastes,reedi,Yellowmouth rockfish,73.74%,99,,,,,,,,,,,,22,wild,medium,acceptable,,,,,,"22,454"
1936,Animalia,Chordata,Mammalia,Cetacea,Balaenopteridae,Megaptera,novaeangliae,Humpback whale,76.84%,95,1643,1643,342,236,1,0.5,657,1350000,,30000000,,573,wild,medium,acceptable,,,,,309.15,"434,455,538,573,610,680,1044,1175"
1947,Animalia,Chordata,Mammalia,Cetacea,Delphinidae,Orcinus,orca,Killer whale,81.11%,90,3780,4930,435,471,1,0.2,1096,180000,,3987500,,784,wild,medium,acceptable,,14,,,309.15,"434,443,455,538,573,610,671,784,914,963,1065,1092,1143,1150,1158,1159,1223,1268"
1971,Animalia,Chordata,Mammalia,Cetacea,Physeteridae,Physeter,macrocephalus,Sperm whale,94.81%,77,2922,3650,502,560,1,0.2,1259,1000000,,28500000,,1,wild,medium,acceptable,,,,,,"1,434,447,455,538,610,680,817,963,978"
1524,Animalia,Chordata,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,schrenckii,Amur sturgeon,121.67%,60,4562,3285,,,,,,,,104500,,454,wild,medium,acceptable,,,,,,454
1232,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Coracopsis,vasa,Vasa parrot,135.44%,53.9,,,,,,,,,,525,,669,captivity,medium,acceptable,,,,,,"669,820"
2310,Animalia,Chordata,Mammalia,Primates,Atelidae,Ateles,fusciceps,Brown-headed spider monkey,158.70%,46,1515,1826,227,410,1,0.5,882,400,,7000,,671,captivity,large,acceptable,,,,,,"434,436,455,467,610,671,679,680,681"
485,Animalia,Chordata,Aves,Charadriiformes,Stercorariidae,Stercorarius,skua,Great skua,211.59%,34.5,2190,2190,,,,,,,,1340,0.156,450,wild,medium,acceptable,,,,,,"450,729,732,820,1143"
